,composition,temperature,VAM,CW,HIP,SPS,A,BCC,FCC,HCP,IM,CTE,compressive ductility,compressive yield stress,d parameter,density,hardness,tensile ductility,tensile yield stress,ultimate compressive strength,ultimate tensile strength,youngs modulus
68,Al0.7Cr1Fe1Co1Ni1,0.09938333333333332,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,9.2,,,,
69,Al0.7Cr1Fe1Ni2.3,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,30.0,461000000.0,,835000000.0,
70,Al0.875Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,,5276166000.0,,,,,
71,Al0.875Cr1Fe1Co1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.08e-06,,,,,3540327000.0,,,,,
72,Al0.875Cr1Fe1Co1Ni1,0.12433333333333332,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.294e-05,,,,,,,,,,
73,Al0.875Cr1Fe1Co1Ni1,0.19999999999999998,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.392e-05,,,,,,,,,,
74,Al0.875Cr1Fe1Co1Ni1,0.35766666666666663,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.559e-05,,,,,,,,,,
75,Al0.8Cr1Fe1Co1Cu1Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,2647890000.0,,,,,
76,Al0.8Cr1Fe1Ni2.2,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,12.7,479000000.0,,956000000.0,
77,Al0.8Fe1Co1Si0.8Ni1,0.09933333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,1017000000.0,
78,Al0.9Cr1Fe1Co1Ni1,0.091,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,5011377000.0,,,,,
